Marriage,Husband,Wife,Date,Place,Source,Note
[F0204],[I0361],[I0469],,,,
[F0205],[I0369],[I0372],,,,
[F0206],[I0363],[I0354],,,,
[F0207],[I0364],[I0355],,,,
[F0208],[I0365],[I0356],,,,
[F0209],[I0365],[I0366],,,,
[F0210],[I0367],[I0357],,,,
[F0211],[I0370],[I0373],,,,
[F0212],[I0380],[I0381],,,,
[F0213],[I0375],[I0382],,,,
[F0214],[I0376],[I0383],,,,
[F0215],[I0377],[I0384],,,,
[F0216],[I0378],[I0385],,,,
[F0217],[I0386],[I0379],,,,
[F0218],[I0387],[I0397],,,,
[F0219],[I0388],[I0398],,,,
[F0220],[I0389],[I0399],,,,
[F0221],[I0390],[I0400],,,,
[F0222],[I0391],[I0401],,,,
[F0223],[I0392],[I0402],,,,
[F0224],[I0393],[I0403],,,,
[F0225],[I0394],[I0404],,,,
[F0226],[I0405],[I0395],,,,
[F0227],[I0406],[I0396],,,,
[F0228],,,,,,
[F0229],[I0408],,,,,
[F0230],,[I0411],,,,
[F0231],[I0412],,,,,
[F0232],,,,,,
[F0233],[I0413],,,,,
[F0234],[I0414],,,,,
[F0235],[I0417],[I0416],,,,
[F0236],[I0418],[I0419],,,,
[F0237],[I0415],,,,,
[F0238],[I0422],[I0420],,,,
[F0239],[I0423],[I0421],,,,
[F0240],[I0424],[I0425],,,,
[F0241],[I0426],[I0428],,,,
[F0242],[I0427],[I0429],,,,
[F0243],[I0430],[I0436],,,,
[F0244],[I0431],[I0437],,,,
[F0245],[I0432],[I0438],,,,
[F0246],[I0439],[I0434],,,,
[F0247],[I0433],[I0440],,,,
[F0248],[I0441],[I0435],,,,
[F0249],[I0442],[I0443],,,,
[F0250],[I0444],[I0443],,,,
[F0251],[I0445],,,,,
[F0252],[I0446],,,,,
[F0253],,[I0447],,,,
[F0254],[I0448],[I0451],,,,
[F0255],[I0450],[I0452],,,,
[F0256],[I0449],[I0453],,,,
[F0257],[I0462],[I0454],,,,
[F0258],[I0463],[I0455],,,,
[F0259],[I0464],[I0456],,,,
[F0260],[I0465],[I0457],,,,
[F0261],[I0466],[I0458],,,,
[F0262],[I0459],[I0467],,,,
[F0263],[I0460],[I0468],,,,
[F0264],,,,,,
[F0265],,[I0470],,,,
[F0266],[I0472],[I0481],,,,
[F0267],[I0473],[I0482],,,,
[F0268],[I0474],[I0471],,,,
[F0269],[I0475],[I0362],,,,
[F0270],[I0476],[I0483],,,,
[F0271],[I0484],[I0477],,,,
[F0272],[I0485],[I0478],,,,
[F0273],[I0486],[I0487],,,,
[F0274],[I0488],[I0489],,,,
[F0275],[I0490],[I0499],,,,
[F0276],[I0500],,,,,
[F0277],,,,,,
[F0278],[I0501],,,,,
[F0279],[I0503],[I0504],,,,
[F0280],,,,,,
[F0281],,[I0506],,,,
[F0282],[I0507],[I0493],,,,
[F0283],[I0502],[I0491],,,,
[F0284],[I0505],[I0492],,,,
[F0285],[I0494],[I0508],,,,
[F0286],[I0509],[I0496],,,,
[F0287],[I0495],[I0510],,,,
[F0288],[I0511],[I0518],,,,
[F0289],[I0512],[I0519],,,,
[F0290],[I0521],[I0514],,,,
[F0291],[I0522],[I0515],,,,
[F0292],[I0523],[I0516],,,,
[F0293],[I0529],[I0535],,,,
[F0294],[I0530],[I0536],,,,
[F0295],[I0531],[I0537],,,,
[F0296],[I0528],[I0533],,,,
[F0297],[I0534],[I0538],,,,
[F0298],[I0532],[I0539],,,,
[F0299],[I0540],[I0542],,,,
[F0300],[I0541],[I0543],,,,
[F0301],[I0544],[I0545],,,,
[F0302],[I0546],[I0547],,,,
[F0303],[I0549],[I0548],,,,
[F0304],[I0550],[I0551],,,,
[F0305],[I0552],[I0553],,,,
[F0306],[I0556],[I0557],,,,
[F0307],[I0554],,,,,
[F0308],[I0559],[I0558],,,,
[F0309],[I0560],[I0561],,,,
[F0310],[I0562],[I0563],,,,
[F0311],[I0555],,,,,
[F0312],[I0564],[I0566],,,,
[F0313],[I0565],[I0570],,,,
[F0314],[I0567],[I0571],,,,
[F0315],[I0568],[I0572],,,,
[F0316],[I0573],[I0569],,,,
[F0317],[I0574],[I0575],,,,
[F0318],[I0576],[I0580],,,,
[F0319],[I0577],[I0581],,,,
[F0320],[I0578],[I0582],,,,
[F0321],[I0579],[I0583],,,,
[F0322],[I0584],[I0588],,,,
[F0323],[I0589],[I0585],,,,
[F0324],[I0590],,,,,
[F0325],,,,,,
[F0326],[I0591],[I0586],,,,
[F0327],[I0592],[I0594],,,,
[F0328],[I0595],[I0593],,,,
[F0329],[I0596],[I0598],,,,
[F0330],[I0597],[I0599],,,,
[F0331],[I0600],[I0159],,,,
[F0332],[I0602],,,,,
[F0333],,,,,,
[F0334],[I0606],[I0603],,,,
[F0335],[I0607],[I0604],,,,
[F0336],[I0608],[I0605],,,,
[F0337],[I0609],[I0615],,,,
[F0338],[I0616],[I0610],,,,
[F0339],[I0611],[I0617],,,,
[F0340],[I0612],[I0618],,,,
[F0341],[I0619],,,,,
[F0342],,[I0620],,,,
[F0343],,,,,,
[F0344],[I0621],,,,,
[F0345],,[I0622],,,,
[F0346],[I0623],,,,,
[F0347],[I0624],,,,,
[F0348],,,,,,
[F0349],[I0191],,,,,
[F0350],[I0202],,,,,
[F0351],[I0625],,,,,
[F0352],[I0626],[I0196],,,,
[F0353],[I0204],[I0627],,,,
[F0354],[I0511],[I0193],,,,
[F0355],[I0513],[I0195],,,,
[F0356],[I0635],[I0203],,,,
[F0357],[I0636],[I0628],,,,
[F0358],[I0029],[I0629],,,,
[F0359],[I0637],[I0630],,,,
[F0360],[I0631],[I0638],,,,
[F0361],[I0632],[I0639],,,,
[F0362],[I0640],[I0641],,,,
[F0363],,,,,,
[F0364],,,,,,
[F0365],,[I0643],,,,
[F0366],[I0633],[I0645],,,,
[F0367],[I0642],[I0644],,,,
[F0368],[I0649],[I0647],,,,
[F0369],,,,,,
[F0370],[I0650],[I0651],,,,
[F0371],[I0652],[I0653],,,,
[F0372],[I0654],,,,,
[F0373],[I0655],[I0657],,,,
[F0374],[I0656],[I0658],,,,
[F0375],[I0659],[I0646],,,,
[F0376],[I0648],[I0663],,,,
[F0377],[I0660],[I0664],,,,
[F0378],[I0661],[I0665],,,,
[F0379],[I0662],[I0666],,,,
[F0380],,,,,,
[F0381],[I0669],[I0667],,,,
[F0382],,[I0670],,,,
[F0383],,[I0671],,,,
[F0384],[I0668],,,,,
[F0385],,,,,,
[F0386],[I0677],,,,,
[F0387],[I0676],[I0678],,,,
[F0388],[I0675],[I0672],,,,
[F0389],[I0683],[I0681],,,,
[F0390],[I0684],[I0682],,,,
[F0391],[I0673],[I0679],,,,
[F0392],[I0674],[I0680],,,,
[F0393],,[I0685],,,,
[F0394],,,,,,
[F0395],,[I0686],,,,
[F0396],[I0689],[I0687],,,,
[F0397],[I0688],[I0690],,,,
[F0398],[I0699],[I0691],,,,
[F0399],,[I0698],,,,
[F0400],[I0701],[I0700],,,,
[F0401],[I0692],[I0702],,,,
[F0402],[I0692],[I0703],,,,
[F0403],[I0704],[I0694],,,,
[F0404],[I0714],[I0705],,,,
[F0405],,,,,,
[F0406],[I0707],[I0706],,,,
[F0407],[I0027],[I0747],,,,
[F0408],[I0708],[I0693],,,,
[F0409],[I0709],[I0695],,,,
[F0410],[I0696],[I0710],,,,
[F0411],[I0711],[I0712],,,,
[F0412],[I0713],[I0697],,,,
[F0413],[I0715],,,,,
[F0414],,,,,,
[F0415],[I0724],[I0717],,,,
[F0416],[I0719],[I0720],,,,
[F0417],,,,,,
[F0418],[I0721],[I0723],,,,
[F0419],[I0718],[I0716],,,,
[F0420],[I0725],[I0726],,,,
[F0421],[I0761],[I0753],,,,
[F0422],,,,,,
[F0423],[I0734],,,,,
[F0424],[I0735],,,,,
[F0425],[I0741],[I0733],,,,
[F0426],[I0742],[I0727],,,,
[F0427],[I0736],[I0728],,,,
[F0428],[I0729],[I0737],,,,
[F0429],[I0730],[I0738],,,,
[F0430],[I0731],[I0739],,,,
[F0431],[I0732],[I0740],,,,
[F0432],[I0744],,,,,
[F0433],[I0743],[I0745],,,,
[F0434],[I0746],[I0757],,,,
[F0435],[I0748],[I0755],,,,
[F0436],[I0756],[I0749],,,,
[F0437],[I0750],[I0758],,,,
[F0438],[I0759],[I0751],,,,
[F0439],[I0760],[I0752],,,,
[F0440],[I0764],[I0763],,,,
[F0441],,,,,,
[F0442],[I0765],,,,,
[F0443],[I0766],[I0776],,,,
[F0444],[I0767],[I0777],,,,
[F0445],[I0768],[I0778],,,,
[F0446],[I0768],[I0779],,,,
[F0447],[I0780],[I0769],,,,
[F0448],[I0781],[I0770],,,,
[F0449],[I0771],[I0782],,,,
[F0450],[I0783],[I0772],,,,
[F0451],[I0784],[I0773],,,,
[F0452],[I0785],[I0774],,,,
[F0453],[I0786],[I0775],,,,
[F0454],[I0796],[I0787],,,,
[F0455],[I0788],[I0797],,,,
[F0456],[I0789],[I0798],,,,
[F0457],[I0790],[I0799],,,,
[F0458],[I0800],[I0791],,,,
[F0459],[I0801],[I0792],,,,
[F0460],[I0802],[I0794],,,,
[F0461],[I0803],[I0794],,,,
[F0462],[I0804],[I0795],,,,
[F0463],[I0805],[I0793],,,,
[F0464],,[I0806],,,,
[F0465],,,,,,
[F0466],[I0807],[I0813],,,,
[F0467],[I0808],[I0814],,,,
[F0468],[I0815],[I0809],,,,
[F0469],[I0816],[I0811],,,,
[F0470],[I0817],[I0810],,,,
[F0471],[I0818],[I0812],,,,
[F0472],,,,,,
[F0473],[I0824],[I0819],,,,
[F0474],[I0825],[I0820],,,,
[F0475],[I0821],[I0826],,,,
[F0476],[I0822],[I0827],,,,
[F0477],[I0828],[I0823],,,,
[F0478],[I0830],[I0831],,,,
[F0479],,,,,,
[F0480],[I0829],[I0832],,,,
[F0481],[I0833],[I0722],,,,
[F0482],[I0834],,,,,
[F0483],[I0835],[I0517],,,,
[F0484],[I0836],,,,,
